"company","category","size","title","level","city","url","updated"
"ActiveFence","Cybersecurity","l","Office Manager & Welfare Operations (Maternity Leave Cover)","Office Manager","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/office-manager--welfare-operations-maternity-leave-cover/D9.669?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Atera Networks","Productivity","l","Chief of Staff to the CEO","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/chief-of-staff-to-the-ceo/66.46B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Atera Networks","Productivity","l","Executive Assistant to the CEO","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/executive-assistant-to-the-ceo/4B.460?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Optibus","AI/ML","l","Bilingual Technical Writer –  Italian, German, Portuguese","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/optibus/D1.00C/bilingual-technical-writer---italian-german-portuguese/49.769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Chargeflow","Fintech","m","Office & Operations Manager","Office Manager","מודיעין מכבים רעות","https://www.comeet.com/jobs/chargeflow/29.001/office--operations-manager/74.863?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"ONE ZERO Digital Bank","Fintech","l","Back Office – Trading Operations","Office Manager","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/back-office--trading-operations/DC.76F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"XTEND","Aerospace","m","Executive Assistant to the CEO","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/xtend/85.00A/executive-assistant-to-the-ceo/6D.86F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ONE ZERO Digital Bank","Fintech","l","Front Office – Trading Operations","Office Manager","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/front-office--trading-operations/DC.76D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"SolarEdge Technologies","Sustainable Technology","l","Safety Officer - Modi'in","Office Manager","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/safety-officer---modiin/6E.34E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Plus500","Fintech","l","Office Admin","Office Manager","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/office-admin/3A.767?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Riverside.fm","AI/ML","l","Knowledge Base Writer","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/knowledge-base-writer/99.666?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Driivz","Automotive","m","Chief of Staff","Assistant","הוד השרון","https://www.comeet.com/jobs/driivz/C4.00B/chief-of-staff/3F.362?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"eToro","Fintech","l","Crypto / Digital Assets Custody Operator","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/etoro/41.009/crypto--digital-assets-custody-operator/69.565?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"AI21 Labs","AI/ML","l","Executive Assistant - Maternity Leave Replacement","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/ai21/E6.001/executive-assistant---maternity-leave-replacement/46.763?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"Plus500","Fintech","l","Payments Operator","Assistant","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/payments-operator/CC.F57?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-02"
"Cellebrite","Cybersecurity","l","Technical Support LAB assistant (Part-time)","Assistant","פתח תקווה","https://www.comeet.com/jobs/Cellebrite/C3.00F/technical-support-lab-assistant-part-time/09.569?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-30"
"DriveNets","Productivity","l","SIT Network Engineer","IT Manager","רעננה","https://www.comeet.com/jobs/drivenets/72.006/sit-network-engineer/80.74B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-29"
"DriveNets","Productivity","l","Senior System Administrator","IT Manager","רעננה","https://www.comeet.com/jobs/drivenets/72.006/senior-system-administrator/86.161?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-24"
"Plus500","Fintech","l","Consolidation Assistant Controller","Assistant","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/consolidation-assistant-controller/D7.164?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-14"
"Guardio","Cybersecurity","m","Personal Assistant","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/personal-assistant/37.760?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-11"
"Gilat Satellite Networks","Telecommunications","l","R&D Chief of Staff","Assistant","פתח תקווה","https://www.comeet.com/jobs/gilat/39.005/rd-chief-of-staff/6B.463?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-01-27"
"Netafim","Sustainable Technology","l","Operator","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/operator/E5.436?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-29"
"Netafim","Sustainable Technology","l","Operator-Yiftah","Assistant","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/operator-yiftah/17.73C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-29"
"CYE","Cybersecurity","m","IT Team Leader","IT Manager","הרצליה","https://jobs.lever.co/CYE/8c0661de-31ca-402e-b3aa-20437b80f6e2?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"D-Fend Solutions","Aerospace","m","Warehouse Operator","Assistant","רעננה","https://jobs.lever.co/d-fendsolutions/476b72ff-35ab-458d-9a10-12f2fc5e44f1?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
