"company","category","size","title","level","city","url","updated"
"Rise","Productivity","m","Data Scientist","Scientist","רמת השרון","https://www.comeet.com/jobs/risecodes/A9.000/data-scientist/36.C44?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Daisy","Fintech","m","Senior Developer - Agentic AI","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/daisy/67.002/senior-developer---agentic-ai/3F.868?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"ActiveFence","Cybersecurity","l","AI Analyst","Scientist","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/ai-analyst/7E.66D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"ActiveFence","Cybersecurity","l","GenAI Analyst","Scientist","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/genai-analyst/F5.468?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"ActiveFence","Cybersecurity","l","GenAI Security Specialist","Scientist","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/genai-security-specialist/00.C55?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"ONE ZERO Digital Bank","Fintech","l","FullStack AI Engineer","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/fullstack-ai-engineer/53.56F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Aidoc","Health","l","AI Algorithms Tech Lead","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/ai-algorithms-tech-lead/31.94A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Aidoc","Health","l","Senior AI Solution Engineer","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/senior-ai-solution-engineer/0F.E55?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Fetcherr","AI/ML","m","Data Scientist","Scientist","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/data-scientist/A0.767?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Aidoc","Health","l","Senior Software Engineer, ML Platform","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/senior-software-engineer-ml-platform/9F.150?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Imagen","Digital Media","m","Deep Learning Algorithm Engineer","Scientist","גבעתיים","https://www.comeet.com/jobs/imagen-ai/78.00F/deep-learning-algorithm-engineer/C9.062?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Imagen","Digital Media","m","Deep Learning Algorithm Intern","Student","גבעתיים","https://www.comeet.com/jobs/imagen-ai/78.00F/deep-learning-algorithm-intern/5C.769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Gett","Automotive","l","Backend Engineer (Algorithms and ML Integration)","Scientist","פתח תקווה","https://www.comeet.com/jobs/gett/A0.002/backend-engineer-algorithms-and-ml-integration/8A.762?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Surecomp","Fintech","l","Gen AI Engineer (Backend, GenAI)","Scientist","כפר סבא","https://www.comeet.com/jobs/Surecomp/24.00E/gen-ai-engineer-backend-genai/70.76C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Riverside.fm","AI/ML","l","NLP Team Lead","Manager","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/nlp-team-lead/75.653?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"SolarEdge Technologies","Sustainable Technology","l","Algorithm Developer","Scientist","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/algorithm-developer/37.D5E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Priority Software","Cloud Computing","l","Data Scientist","Scientist","ראש העין","https://il.linkedin.com/jobs/view/data-scientist-at-priority-software-4403079663?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Play Perfect","Digital Media","m","Senior Data Scientist","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-data-scientist-at-play-perfect-4388046843?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"ARM","Semiconductors","m","Software ML Engineer","Scientist","רעננה","https://il.linkedin.com/jobs/view/software-ml-engineer-at-arm-4403087806?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Seeking Alpha","Digital Media","l","Senior AI Engineer (LLM & Multi-Agent Systems)","Scientist","רעננה","https://il.linkedin.com/jobs/view/senior-ai-engineer-llm-multi-agent-systems-at-seeking-alpha-4380795600?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"DealHub","Productivity","l","AI Solutions Engineer","Scientist","חולון","https://www.comeet.com/jobs/dealhub/86.005/ai-solutions-engineer/5F.86D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Coralogix","Cloud Computing","l","AI Knowledge Team Lead","Manager","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/ai-knowledge-team-lead/3D.468?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"ONE ZERO Digital Bank","Fintech","l","AI Engineer","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/ai-engineer/63.560?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Aidoc","Health","l","AI Software Team Leader - ML Platform","Manager","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/ai-software-team-leader---ml-platform/56.460?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Aidoc","Health","l","AI Software Tech Lead, ML Platform","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/ai-software-tech-lead-ml-platform/7A.E5D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Aidoc","Health","l","Principal Software Engineer, ML Platform","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/principal-software-engineer-ml-platform/8A.E52?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Aidoc","Health","l","Strategic Business Data Scientist","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/strategic-business-data-scientist/7E.462?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"WSC Sports Technologies","Digital Media","l","Algorithm Developer GenAI","Scientist","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/algorithm-developer-genai/A9.069?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"WSC Sports Technologies","Digital Media","l","ML Engineering Team Lead","Manager","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/ml-engineering-team-lead/65.56E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Final","Fintech","l","Deep Learning Engineer","Scientist","הרצליה","https://www.comeet.com/jobs/final/C0.009/deep-learning-engineer/BD.76C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Nuvei","Fintech","xl","Machine learning operations engineer","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/machine-learning-operations-engineer-at-nuvei-4390940549?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
