"company","category","size","title","level","city","url","updated"
"Global-e","Productivity","l","NOC Engineer- Student Position","Student","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/noc-engineer--student-position/BC.84D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"BioCatch","Cybersecurity","l","Senior DevOps Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/biocatch/03.00E/senior-devops-engineer/3A.769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"Aqua Security","Cybersecurity","l","Senior Devops Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/aquasec/91.001/senior-devops-engineer/67.66E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"AlgoSec","Cybersecurity","l","DevOps Team Leader, Israel","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/devops-team-leader-israel-at-algosec-4403862319?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-19"
"mPrest","IoT","m","IT Infrastructure Expert","Engineer","פתח תקווה","https://www.comeet.com/jobs/mprest/38.005/it-infrastructure-expert/2A.767?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Tikal","Productivity","l","Senior DevOps Engineer","Engineer","תל אביב","https://www.comeet.com/jobs/tikalk/68.00C/senior-devops-engineer/68.63E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Akamai Technologies","Cloud Computing","l","Senior SRE Lead - Hybrid","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-sre-lead-hybrid-at-akamai-technologies-4382135098?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Coralogix","Cloud Computing","l","DevOps Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/devops-engineer/62.966?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"WSC Sports Technologies","Digital Media","l","Cloud FinOps Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/cloud-finops-engineer/E2.666?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Gett","Automotive","l","Staff DevOps Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/gett/A0.002/staff-devops-engineer/C7.B5F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"ZoomInfo","AI/ML","xl","Senior DevOps Engineer","Engineer","רעננה","https://il.linkedin.com/jobs/view/senior-devops-engineer-at-zoominfo-4365186189?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Pagaya","Fintech","l","Senior DevOps Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-devops-engineer-at-pagaya-4316888825?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Varonis Systems","Cybersecurity","l","R&D Infrastructure and Labs Manager","Manager","הרצליה","https://il.linkedin.com/jobs/view/r-d-infrastructure-and-labs-manager-at-varonis-4336391529?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Thales","Cybersecurity","m","Senior Devops engineer (Core Team)","Engineer","פתח תקווה","https://il.linkedin.com/jobs/view/senior-devops-engineer-core-team-at-thales-4371458115?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"ActiveFence","Cybersecurity","l","Intelligence Infrastructure Expert (Maternity leave replacement)","Engineer","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/intelligence-infrastructure-expert-maternity-leave-replacement/87.76F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Moon Active","Gaming","l","DevOps Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/devops-engineer/A8.B19?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Pentera","Cybersecurity","l","Senior Devops Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/pentera/C5.00D/senior-devops-engineer/42.962?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Rapyd Financial Network","Fintech","l","Customer Delivery Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/customer-delivery-manager/5C.76E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Rapyd Financial Network","Fintech","l","NOC Team Leader","Manager","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/noc-team-leader/33.86E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Rapyd Financial Network","Fintech","l","Senior Developer (DevOps and Infrastructure)","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/senior-developer-devops-and-infrastructure/B0.754?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Aidoc","Health","l","Senior DevOps Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/senior-devops-engineer/C2.260?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
