"company","category","size","title","level","city","url","updated"
"Global-e","Productivity","l","Assistant Controller","Accountant","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/assistant-controller/DA.566?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Global-e","Productivity","l","Tax Manager- U.S","Manager","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/tax-manager--u_s/17.16D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"8fig","Fintech","m","Senior Bookkeeper & Payroll","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/8fig/08.004/senior-bookkeeper--payroll/BB.762?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Island","Cybersecurity","l","Payroll & AP Specialist","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/island/09.00A/payroll--ap-specialist/42.86F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Coralogix","Cloud Computing","l","FP&A Manager","Manager","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/fpa-manager/F2.66A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Okoora","Fintech","s","Bookkeeper","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/okoora/85.00C/bookkeeper/3E.66D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Okoora","Fintech","s","VP Finance","Executive","תל אביב-יפו","https://www.comeet.com/jobs/okoora/85.00C/vp-finance/11.368?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Silverfort","Cybersecurity","l","NetSuite & Finance Applications Implementor","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/silverfort/54.007/netsuite--finance-applications-implementor/C9.661?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Aidoc","Health","l","Corporate Controller","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/corporate-controller/BB.466?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"CYMOTIVE Technologies","Cybersecurity","m","Senior Bookkeeper","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/cymotive/F1.008/senior-bookkeeper/A9.86E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ONE ZERO Digital Bank","Fintech","l","Marketing Automation Manager -Loans & Collections","Manager","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/marketing-automation-manager--loans--collections/A8.76E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Plus500","Fintech","l","Accounting Manager","Manager","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/accounting-manager/20.36B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Gett","Automotive","l","IL Controller","Accountant","פתח תקווה","https://www.comeet.com/jobs/gett/A0.002/il-controller/CD.76B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Global-e","Productivity","l","Indirect Tax Analyst- Temporary","Accountant","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/indirect-tax-analyst--temporary/9F.662?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Lusha","AdTech","l","Senior Strategic FP&A","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/lusha/73.00B/senior-strategic-fpa/CD.764?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
