"company","category","size","title","level","city","url","updated"
"SolarEdge Technologies","Sustainable Technology","l","Electrical Practical Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/electrical-practical-engineer/3B.564?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"SolarEdge Technologies","Sustainable Technology","l","Experienced ATE HW Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/experienced-ate-hw-engineer/0E.860?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"SolarEdge Technologies","Sustainable Technology","l","Experienced Mechanical Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/experienced-mechanical-engineer/3B.562?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"SolarEdge Technologies","Sustainable Technology","l","Hardware Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/hardware-engineer/0A.768?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"ACS Motion Control","Robotics & Automation","m","HW Integration Practical Engineer","Engineer","יקנעם עילית","https://www.comeet.com/jobs/ACS/14.000/hw-integration-practical-engineer/C8.166?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"hiSky SCS","Telecommunications","m","Radio Frequency Engineer","Engineer","ראש העין","https://il.linkedin.com/jobs/view/radio-frequency-engineer-at-hisky-4405966472?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"NoTraffic","AI/ML","m","Head of Hardware","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/head-of-hardware-at-notraffic-4407179451?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"mPrest","IoT","m","Electrical System Engineer (Energy)","Engineer","פתח תקווה","https://www.comeet.com/jobs/mprest/38.005/electrical-system-engineer-energy/BC.D5F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"DriveNets","Productivity","l","Product/NPI Engineer","Engineer","רעננה","https://www.comeet.com/jobs/drivenets/72.006/productnpi-engineer/98.762?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Innoviz Technologies","Cybersecurity","l","Technical Project Manager – HW Stream","Manager","Rosh Haayin","https://www.comeet.com/jobs/innoviz/52.004/technical-project-manager--hw-stream/9D.466?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
