"company","category","size","title","level","city","url","updated"
"ONE ZERO Digital Bank","Fintech","l","Legal Counsel (Operations & Regulation)","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/legal-counsel-operations--regulation/7B.769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Rise","Productivity","m","Legal Counsel","Lawyer","רמת השרון","https://www.comeet.com/jobs/risecodes/A9.000/legal-counsel/06.765?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"ONE ZERO Digital Bank","Fintech","l","עורך דין - מטה ורגולציה","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/-----/7B.76D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ONE ZERO Digital Bank","Fintech","l","SOX Compliance Specialist","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/sox-compliance-specialist/BD.466?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Plus500","Fintech","l","Regulatory Affairs Specialist","Lawyer","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/regulatory-affairs-specialist/F9.563?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"NextSilicon","Semiconductors","l","Corporate Counsel","Lawyer","גבעתיים","https://www.comeet.com/jobs/nextsilicon/18.007/corporate-counsel/09.860?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Silverfort","Cybersecurity","l","Legal Counsel","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/silverfort/54.007/legal-counsel/60.868?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"LiveU","Telecommunications","l","Legal Counsel (Temporary Position)","Lawyer","כפר סבא","https://www.comeet.com/jobs/liveu/90.00C/legal-counsel-temporary-position/D7.860?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-01"
"Plus500","Fintech","l","Associate legal counsel (Litigation)","Lawyer","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/associate-legal-counsel-litigation/5F.53A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-30"
"Plus500","Fintech","l","SOX Compliance Manager","Manager","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/sox-compliance-manager/9E.851?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Netafim","Sustainable Technology","l","Legal Intern (for Mar 2027)","Student","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/legal-intern-for-mar-2027/08.162?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-24"
"CYE","Cybersecurity","m","Junior Cybersecurity Architect (GRC & Risk)","Lawyer","הרצליה","https://jobs.lever.co/CYE/0ff5bb09-02da-43de-b0f1-0266c2dddedf?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
