"company","category","size","title","level","city","url","updated"
"Riverside.fm","AI/ML","l","User Acquisition Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/user-acquisition-manager/3C.86D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Innoviz Technologies","Cybersecurity","l","Product Marketing Manager – SMART Solutions (Non-Automotive)","Manager","Rosh Haayin","https://www.comeet.com/jobs/innoviz/52.004/product-marketing-manager--smart-solutions-non-automotive/46.761?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Agora","Fintech","m","VP Marketing","Executive","תל אביב-יפו","https://www.comeet.com/jobs/agora/08.007/vp-marketing/64.868?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Atera Networks","Productivity","l","Marketing Project Manager (Maternity Leave Replacement)","Manager","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/marketing-project-manager-maternity-leave-replacement/CC.76A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Waterfall Security Solutions","Cybersecurity","m","Marketing Specialist","Marketeer","ראש העין","https://www.comeet.com/jobs/waterfall-security/C7.009/marketing-specialist/44.76E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"SolarEdge Technologies","Sustainable Technology","l","C&I Marketing Team Leader","Manager","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/ci-marketing-team-leader/9F.66E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"SolarEdge Technologies","Sustainable Technology","l","Global Residential Marketing Manager","Manager","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/global-residential-marketing-manager/8B.76C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"WSC Sports Technologies","Digital Media","l","Director of Global Marketing","Executive","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/director-of-global-marketing/97.769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"WSC Sports Technologies","Digital Media","l","Marketing Tech Ops Manager","Manager","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/marketing-tech-ops-manager/C8.867?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Plus500","Fintech","l","Affiliate Manager","Manager","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/affiliate-manager/35.460?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"DealHub","Productivity","l","Marketing Project Manager","Manager","חולון","https://www.comeet.com/jobs/dealhub/86.005/marketing-project-manager/AA.766?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Global-e","Productivity","l","Director of Analytics - Growth","Executive","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/director-of-analytics---growth/E1.367?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Global-e","Productivity","l","Marketing Events Manager","Manager","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/marketing-events-manager/32.569?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Cognyte","Cybersecurity","l","MKT - Campaign Manager","Manager","הרצליה","https://www.comeet.com/jobs/cognyte/F2.009/mkt---campaign-manager/83.369?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ACS Motion Control","Robotics & Automation","m","Segment Marketing Manager","Manager","יקנעם עילית","https://www.comeet.com/jobs/ACS/14.000/segment-marketing-manager/4D.762?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"WeTrip","E-commerce & Retail","s","SEO Specialist","Marketeer","הרצליה","https://www.comeet.com/jobs/weski/F8.00C/seo-specialist/5C.86C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Arpeely","AdTech","m","AI Growth Marketing Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/arpeely/57.001/ai-growth-marketing-manager/F7.861?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ActiveFence","Cybersecurity","l","Marketing Automation Specialist (Maternity Leave Cover)","Marketeer","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/marketing-automation-specialist-maternity-leave-cover/C7.369?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"SolarEdge Technologies","Sustainable Technology","l","Growth Specialist","Marketeer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/growth-specialist/7B.366?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Moon Active","Gaming","l","Junior User Acquisition Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/junior-user-acquisition-manager/18.633?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Moon Active","Gaming","l","Mobile User Acquisition Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/mobile-user-acquisition-manager/75.C11?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Guardio","Cybersecurity","m","Head of Brand Marketing","Executive","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/head-of-brand-marketing/E6.460?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Lumenis","Health","l","Marketing Manager","Manager","יוקנעם עילית","https://www.comeet.com/jobs/lumenis/A1.00C/marketing-manager/C2.956?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"Guardio","Cybersecurity","m","Head of Marketing Automation","Executive","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/head-of-marketing-automation/1D.764?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"Chargeflow","Fintech","m","Senior Product Marketing Manager","Manager","מודיעין מכבים רעות","https://www.comeet.com/jobs/chargeflow/29.001/senior-product-marketing-manager/84.866?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"365Scores","Digital Media","l","Commercial Content Editor","Marketeer","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/commercial-content-editor/37.369?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-05"
"Okoora","Fintech","s","Acquisition Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/okoora/85.00C/acquisition-manager/16.86A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-31"
"Okoora","Fintech","s","Performance Marketing Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/okoora/85.00C/performance-marketing-manager/BC.769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-30"
"Upstream Security","Cybersecurity","m","Marketing Specialist – Part-time","Marketeer","הרצליה","https://www.comeet.com/jobs/upstream/E4.003/marketing-specialist--part-time/A5.869?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-30"
"Agora","Fintech","m","Senior Product Marketing Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/agora/08.007/senior-product-marketing-manager/E8.953?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-30"
"Guardio","Cybersecurity","m","User Acquisition Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/user-acquisition-manager/27.469?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-25"
"Lumenis","Health","l","Product Marketing Director","Executive","יוקנעם עילית","https://www.comeet.com/jobs/lumenis/A1.00C/product-marketing-director/61.A54?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Anchor","Fintech","s","VP Marketing","Executive","תל אביב-יפו","https://www.comeet.com/jobs/anchorfintech/87.00D/vp-marketing/D8.76E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-19"
"Cardo Systems","Telecommunications","m","Field Marketing Manager","Manager","רעננה","https://www.comeet.com/jobs/cardosystems/F2.003/field-marketing-manager/14.465?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-18"
"Lumenis","Health","l","Marketing Specialist- Pollogen","Marketeer","יוקנעם עילית","https://www.comeet.com/jobs/lumenis/A1.00C/marketing-specialist--pollogen/24.76C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-15"
"Netafim","Sustainable Technology","l","Global Internal Communications Coordinator","Student","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/global-internal-communications-coordinator/55.C5E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Lumenis","Health","l","Product Marketing Manager","Manager","יוקנעם עילית","https://www.comeet.com/jobs/lumenis/A1.00C/product-marketing-manager/14.557?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-26"
"365Scores","Digital Media","l","PPC Search - Entain","Marketeer","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/ppc-search---entain/DE.85A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-25"
"Guardio","Cybersecurity","m","Senior Brand & Marketing Designer","Marketeer","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/senior-brand--marketing-designer/F0.F5C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-24"
"365Scores","Digital Media","l","Performance Marketing Solutions Manager- Entain","Manager","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/performance-marketing-solutions-manager--entain/52.66D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-18"
"eToro","Fintech","l","Marketing Project Manager (temporary)","Manager","תל אביב-יפו","https://www.comeet.com/jobs/etoro/41.009/marketing-project-manager-temporary/6D.46C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-04"
