"company","category","size","title","level","city","url","updated"
"Gett","Automotive","l","Procurement Manager","Procurement","פתח תקווה","https://www.comeet.com/jobs/gett/A0.002/procurement-manager/77.86E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Innoviz Technologies","Cybersecurity","l","Logistics Manager","Supply Chain","Rosh Haayin","https://www.comeet.com/jobs/innoviz/52.004/logistics-manager/D7.664?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ONE ZERO Digital Bank","Fintech","l","מומח/ית בקרות תפעוליות בשוק ההון","Operations","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/----/C4.76A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Kaltura","Digital Media","l","Procurement Specialist","Procurement","בני ברק","https://www.comeet.com/jobs/kaltura/E2.00D/procurement-specialist/39.76E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Coralogix","Cloud Computing","l","Global Procurement Manager","Procurement","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/global-procurement-manager/FF.D47?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"SolarEdge Technologies","Sustainable Technology","l","מחסנאי/ת","Operations","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/None/A4.848?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Island","Cybersecurity","l","Global Procurement Manager","Procurement","תל אביב-יפו","https://www.comeet.com/jobs/island/09.00A/global-procurement-manager/18.F59?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"SolarEdge Technologies","Sustainable Technology","l","Procurement Coordinator","Procurement","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/procurement-coordinator/37.065?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"SolarEdge Technologies","Sustainable Technology","l","רפרנט תפעול הסעות","Operations","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/--/5E.668?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Cardo Systems","Telecommunications","m","מחסנאי","Operations","רעננה","https://www.comeet.com/jobs/cardosystems/F2.003/None/02.561?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"BIRD Aerosystems","Aerospace","m","Procurement Manager","Procurement","הרצליה","https://www.comeet.com/jobs/birdaero/97.006/procurement-manager/7C.65E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-05"
"DriveNets","Productivity","l","Senior Strategic Buyer","Procurement","רעננה","https://www.comeet.com/jobs/drivenets/72.006/senior-strategic-buyer/37.06C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-30"
"DriveNets","Productivity","l","Senior Indirect Buyer","Procurement","רעננה","https://www.comeet.com/jobs/drivenets/72.006/senior-indirect-buyer/EB.162?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-19"
"XTEND","Aerospace","m","Procurement Specialist","Procurement","תל אביב-יפו","https://www.comeet.com/jobs/xtend/85.00A/procurement-specialist/DA.563?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-15"
"SodaStream","E-commerce & Retail","l","ר""צ איכות- החלפה לחל""ד","Operations","כפר סבא","https://www.comeet.com/jobs/sodastream/40.008/----/E5.569?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-15"
"Silverfort","Cybersecurity","l","Procurement Specialist","Procurement","תל אביב-יפו","https://www.comeet.com/jobs/silverfort/54.007/procurement-specialist/7A.667?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Ceragon Networks","Telecommunications","l","General & Indirect Buyer (Procurement)","Procurement","ראש העין","https://www.comeet.com/jobs/Ceragon/D3.003/general--indirect-buyer-procurement/4D.162?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Netafim","Sustainable Technology","l","Team Leader-Warehouse","Operations","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/team-leader-warehouse/6E.662?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-26"
"Orpak Systems","E-commerce & Retail","l","Supply Chain and Procurement Manager","Procurement","יקום","https://www.comeet.com/jobs/Orpak/65.001/supply-chain-and-procurement-manager/EC.260?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-02-15"
"Netafim","Sustainable Technology","l","Inventory Planning Manager","Supply Chain","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/inventory-planning-manager/5F.856?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-10"
"D-Fend Solutions","Aerospace","m","Senior Purchasing Manager","Operations","רעננה","https://jobs.lever.co/d-fendsolutions/ab37c32c-832b-4e54-836c-087b1746fd68?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
