"company","category","size","title","level","city","url","updated"
"Global-e","Productivity","l","Senior Product Manager- Cross","Manager","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/senior-product-manager--cross/A6.555?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Aqua Security","Cybersecurity","l","Product Security Lead","Manager","רמת גן","https://www.comeet.com/jobs/aquasec/91.001/product-security-lead/F8.868?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Innoviz Technologies","Cybersecurity","l","System Production Team Leader","Manager","Rosh Haayin","https://www.comeet.com/jobs/innoviz/52.004/system-production-team-leader/9F.569?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"NextSilicon","Semiconductors","l","Technical Product Manager","Manager","גבעתיים","https://www.comeet.com/jobs/nextsilicon/18.007/technical-product-manager/EA.16A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Surecomp","Fintech","l","Junior Product Owner - RIVO AI Product & Platform","Manager","כפר סבא","https://www.comeet.com/jobs/Surecomp/24.00E/junior-product-owner---rivo-ai-product--platform/4A.66C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Driivz","Automotive","m","Product Manager - CSMS","Manager","הוד השרון","https://www.comeet.com/jobs/driivz/C4.00B/product-manager---csms/5C.46D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Windward","Automotive","m","Product Manager - Windward Intelligence System","Manager","תל אביב-יפו","https://www.comeet.com/jobs/windward/31.002/product-manager---windward-intelligence-system/AC.566?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Moon Active","Gaming","l","Product Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/product-manager/A1.503?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Viber","Digital Media","l","Product Manager, Core","Manager","בני ברק","https://www.comeet.com/jobs/viber/04.002/product-manager-core/DD.863?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Lusha","AdTech","l","Senior Product Analyst","Manager","תל אביב-יפו","https://www.comeet.com/jobs/lusha/73.00B/senior-product-analyst/31.362?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Lusha","AdTech","l","Senior Product Manager, Platform AI Solutions","Manager","תל אביב-יפו","https://www.comeet.com/jobs/lusha/73.00B/senior-product-manager-platform-ai-solutions/EE.363?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Coralogix","Cloud Computing","l","Product Manager","Manager","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/product-manager/62.36F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"8fig","Fintech","m","Product Quality Specialist","Manager","תל אביב-יפו","https://www.comeet.com/jobs/8fig/08.004/product-quality-specialist/9B.766?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Riverside.fm","AI/ML","l","Product Manager Team Lead - New Products","Manager","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/product-manager-team-lead---new-products/4F.F58?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Riverside.fm","AI/ML","l","Senior Product Designer","Manager","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/senior-product-designer/0A.568?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Aqua Security","Cybersecurity","l","Senior Product Manager","Manager","רמת גן","https://www.comeet.com/jobs/aquasec/91.001/senior-product-manager/50.766?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"WeTrip","E-commerce & Retail","s","Senior Product Designer","Manager","הרצליה","https://www.comeet.com/jobs/weski/F8.00C/senior-product-designer/9C.56B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Aidoc","Health","l","Strategic Product Analyst","Manager","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/strategic-product-analyst/1D.545?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Arpeely","AdTech","m","Senior Product Designer","Manager","תל אביב-יפו","https://www.comeet.com/jobs/arpeely/57.001/senior-product-designer/5C.164?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Upstream Security","Cybersecurity","m","Product Manager","Manager","הרצליה","https://www.comeet.com/jobs/upstream/E4.003/product-manager/0F.B50?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Prisma Photonics","IoT","m","Senior Product Analyst","Manager","תל אביב-יפו","https://www.comeet.com/jobs/prismaphotonics/18.00C/senior-product-analyst/34.A40?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Island","Cybersecurity","l","Product Support Engineer","Manager","תל אביב-יפו","https://www.comeet.com/jobs/island/09.00A/product-support-engineer/13.E48?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Rapyd Financial Network","Fintech","l","Senior Product Designer","Manager","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/senior-product-designer/AE.F5F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"ONE ZERO Digital Bank","Fintech","l","Product Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/product-manager/74.867?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"KMS Lighthouse","Productivity","m","Technical Product Manager","Manager","פתח תקווה","https://www.comeet.com/jobs/kmslh/97.008/technical-product-manager/13.764?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"SolarEdge Technologies","Sustainable Technology","l","NPI Material and production planning","Manager","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/npi-material-and-production-planning/FA.56F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Start.io","AdTech","m","Junior Programmatic Partnership manager","Manager","נתניה","https://www.comeet.com/jobs/start.io/B2.004/junior-programmatic-partnership-manager/7C.56B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"FullPath","Automotive","l","Director Of Product-  CDP","Executive","תל אביב-יפו","https://www.comeet.com/jobs/fullpath/54.002/director-of-product---cdp/E8.663?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Moon Active","Gaming","l","Product Economy Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/product-economy-manager/6D.F24?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Moon Active","Gaming","l","Product Monetization Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/product-monetization-manager/22.90A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Pentera","Cybersecurity","l","Product Manager - Cyber","Manager","פתח תקווה","https://www.comeet.com/jobs/pentera/C5.00D/product-manager---cyber/53.56C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
