"company","category","size","title","level","city","url","updated"
"SolarEdge Technologies","Sustainable Technology","l","Quality Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/quality-engineer/14.468?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"Justt","Fintech","m","Senior CX Automation Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/justt/36.001/senior-cx-automation-manager/E8.86A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"Visuality Systems","Robotics & Automation","s","Quality Assurance Engineer","Engineer","יוקנעם עילית","https://il.linkedin.com/jobs/view/quality-assurance-engineer-at-visuality-systems-4402861782?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"AlgoSec","Cybersecurity","l","Automation Team Lead","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/automation-team-lead-at-algosec-4407160351?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-27"
"Claroty","Cybersecurity","l","Automation Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/automation-engineer/9C.76C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"DealHub","Productivity","l","QA Engineer(Entry Level)","Engineer","חולון","https://www.comeet.com/jobs/dealhub/86.005/qa-engineerentry-level/99.067?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Silverfort","Cybersecurity","l","QA Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/silverfort/54.007/qa-engineer/FD.868?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SuperPlay","Gaming","l","Operations and QA Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/superplay/28.003/operations-and-qa-manager/9E.667?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SuperPlay","Gaming","l","QA Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/superplay/28.003/qa-engineer/FE.86B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SolarEdge Technologies","Sustainable Technology","l","ATE Testers Technician (Level 2)","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/ate-testers-technician-level-2/93.76F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SolarEdge Technologies","Sustainable Technology","l","Quality Director","Executive","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/quality-director/2B.562?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SolarEdge Technologies","Sustainable Technology","l","Senior Automation Developer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/senior-automation-developer/1D.269?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SolarEdge Technologies","Sustainable Technology","l","מבקר.ת איכות בייצור (QC)","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/_---qc/69.55B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"SolarEdge Technologies","Sustainable Technology","l","עובד.ת מעבדה (בדיקות אמינות- QT)","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/_-----qt/34.56A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Tipalti","Fintech","l","Senior QA Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-qa-lead-at-tipalti-4407138114?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"WalkMe","Productivity","l","QA and Automation Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/qa-and-automation-engineer-at-walkme-4344706558?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Pi-Cardia","Health","m","Quality Assurance Manager","Manager","רחובות","https://il.linkedin.com/jobs/view/quality-assurance-manager-at-pi-cardia-4391842754?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Pi-Cardia","Health","m","Senior Quality Assurance Specialist","Engineer","רחובות","https://il.linkedin.com/jobs/view/senior-quality-assurance-specialist-at-pi-cardia-4385252894?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"LIGHTYX","Robotics & Automation","xs","QA & Assembly Integrator","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/qa-assembly-integrator-at-lightyx-4404608843?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Firmus","Productivity","s","Automation Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/automation-lead-at-firmus-4399137378?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-26"
"Elementor","Productivity","l","Senior Automation Engineer","Engineer","רמת גן","https://il.linkedin.com/jobs/view/senior-automation-engineer-at-elementor-4406858001?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-25"
"ThetaRay","Fintech","m","Automation and performance Team Leader","Manager","הוד השרון","https://www.comeet.com/jobs/thetaray/72.00F/automation-and-performance-team-leader/E1.661?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-24"
"ThetaRay","Fintech","m","Software Release Manager","Manager","הוד השרון","https://www.comeet.com/jobs/thetaray/72.00F/software-release-manager/B6.765?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-24"
"Beach Bum","Gaming","l","QA Engineer","Engineer","רעננה","https://il.linkedin.com/jobs/view/qa-engineer-at-beach-bum-4384322457?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-24"
"Lemonade","Fintech","l","QA Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/qa-engineer-at-lemonade-4406176582?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-24"
"Tenable","Cybersecurity","xl","Senior Automation Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-automation-engineer-at-tenable-4366604158?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-24"
"april","Fintech","m","Senior Automation Engineer","Engineer","ניצני עוז","https://il.linkedin.com/jobs/view/senior-automation-engineer-at-april-4374995733?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-24"
"VAST Data","Cloud Computing","l","QA Automation Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/vastdata/43.001/qa-automation-engineer/96.619?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"VAST Data","Cloud Computing","l","QA Performance Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/vastdata/43.001/qa-performance-engineer/99.A1F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Netafim","Sustainable Technology","l","Quality Assurance-Extrusion","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/netafim/B7.002/quality-assurance-extrusion/14.961?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Commtact","Telecommunications","m","Student Position – Test and Automation Engineer (RF Systems)","Student","אשדוד","https://il.linkedin.com/jobs/view/student-position-%E2%80%93-test-and-automation-engineer-rf-systems-at-commtact-ltd-4405655682?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Buildots","Robotics & Automation","l","Knowledge & Quality Specialist","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/knowledge-quality-specialist-at-buildots-4402862452?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Siemens","Robotics & Automation","xl","Electrician for Testing ,Warranty & Commissioning on electrical trains/  חשמלאים לאיתור תיקון תקלות וביצוע הרצות ברכבות חשמליות","Engineer","ראש העין","https://il.linkedin.com/jobs/view/electrician-for-testing-warranty-commissioning-on-electrical-trains-%D7%97%D7%A9%D7%9E%D7%9C%D7%90%D7%99%D7%9D-%D7%9C%D7%90%D7%99%D7%AA%D7%95%D7%A8-%D7%AA%D7%99%D7%A7%D7%95%D7%9F-%D7%AA%D7%A7%D7%9C%D7%95%D7%AA-%D7%95%D7%91%D7%99%D7%A6%D7%95%D7%A2-%D7%94%D7%A8%D7%A6%D7%95%D7%AA-%D7%91%D7%A8%D7%9B%D7%91%D7%95%D7%AA-%D7%97%D7%A9%D7%9E%D7%9C%D7%99%D7%95%D7%AA-at-siemens-4374303019?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Maytronics","Productivity","l","Reliability & Environmental Testing Team Leader","Manager","יזרעאל","https://il.linkedin.com/jobs/view/reliability-environmental-testing-team-leader-at-maytronics-4405651985?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Harmonic","Digital Media","m","Production Testing Engineer","Engineer","קיסריה","https://il.linkedin.com/jobs/view/production-testing-engineer-at-harmonic-4343784153?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
"Riverbed Technology","AI/ML","s","Automation Development Lead","Manager","ירושלים","https://il.linkedin.com/jobs/view/automation-development-lead-at-riverbed-technology-4375084311?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-23"
