"company","category","size","title","level","city","url","updated"
"Surecomp","Fintech","l","Junior Full Stuck Engineer","Engineer","כפר סבא","https://www.comeet.com/jobs/Surecomp/24.00E/junior-full-stuck-engineer/37.363?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Claroty","Cybersecurity","l","Backend Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/backend-engineer/FA.E52?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Claroty","Cybersecurity","l","Full Stack Software Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/full-stack-software-engineer/6E.75E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Claroty","Cybersecurity","l","Software Team Leader","Manager","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/software-team-leader/10.E41?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Lusha","AdTech","l","Data Infra Tech Lead","Tech Lead","תל אביב-יפו","https://www.comeet.com/jobs/lusha/73.00B/data-infra-tech-lead/9E.86E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"DriveNets","Productivity","l","Full Stack Engineer- AI Datacenter Orchestration","Engineer","רעננה","https://www.comeet.com/jobs/drivenets/72.006/full-stack-engineer--ai-datacenter-orchestration/FA.560?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"DriveNets","Productivity","l","Senior Backend Developer /Tech Lead","Tech Lead","רעננה","https://www.comeet.com/jobs/drivenets/72.006/senior-backend-developer-tech-lead/81.369?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Driivz","Automotive","m","Backend Tech Lead","Tech Lead","הוד השרון","https://www.comeet.com/jobs/driivz/C4.00B/backend-tech-lead/28.660?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"BIRD Aerosystems","Aerospace","m","EO System Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/birdaero/97.006/eo-system-engineer/B6.861?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Global-e","Productivity","l","AI & Advanced Technologies - Senior Software Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/ai--advanced-technologies---senior-software-engineer/69.764?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Global-e","Productivity","l","Delivery Solution Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/delivery-solution-engineer/26.861?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Global-e","Productivity","l","Full Stack Developer","Engineer","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/full-stack-developer/DD.663?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Global-e","Productivity","l","R&D Director","Executive","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/rd-director/BC.860?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Global-e","Productivity","l","Senior Full Stack Developer","Engineer","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/senior-full-stack-developer/87.365?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Global-e","Productivity","l","System Architect","Architect","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/system-architect/17.F5F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Atera Networks","Productivity","l","Enterprise Professional Services Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/enterprise-professional-services-engineer/19.76F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Coralogix","Cloud Computing","l","Software Engineer - Data Ingestion","Engineer","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/software-engineer---data-ingestion/C2.66C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Tikal","Productivity","l","Senior Backend Engineer","Engineer","תל אביב","https://www.comeet.com/jobs/tikalk/68.00C/senior-backend-engineer/13.532?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
